n mean median p90 p99 p999 max
6135000 43.84480000 22 101 347 932 1781
6145000 43.09860000 22 103 327 656 1355
6155000 41.92900000 22 101 305 620 1481
6165000 42.16180000 22 101 308 698 1583
6175000 42.22200000 22 98 317 779 1796
6185000 42.35780000 22 101 303 641 1374
6195000 42.54640000 22 101 311 797 1838
6205000 41.90100000 22 99 305 716 1367
6215000 42.12320000 22 99 317 681 1241
6225000 43.66900000 22 104 320 746 1304
6235000 42.43440000 22 101 311 834 1520
6245000 42.35680000 22 98 317 743 2762
6255000 43.03060000 22 102 327 669 1661
6265000 42.96600000 22 101 317 716 1766
6275000 43.43060000 22 101 327 773 3278
6285000 42.82120000 22 102 321 674 2930
6295000 42.43380000 22 101 332 690 1070
6305000 43.19540000 22 103 326 767 1796
6315000 42.18640000 22 101 310 653 872
6325000 43.05360000 22 104 320 758 1310
6335000 42.49720000 22 99 314 746 1569
6345000 43.41280000 22 101 335 758 1481
6355000 42.60360000 22 101 314 746 1538
6365000 42.41660000 22 101 309 683 1307
6375000 43.30000000 22 103 331 809 2069
6385000 41.80920000 22 101 295 653 1604
6395000 42.44120000 22 101 296 830 2573
6405000 42.81040000 22 101 317 704 1313
6415000 41.84580000 22 98 305 653 1565
6425000 42.96640000 22 102 317 744 1289
6435000 43.00720000 22 101 344 701 1388
6445000 42.80700000 22 101 320 695 995
6455000 42.19160000 22 101 331 701 1019
6465000 42.77320000 22 101 332 704 1478
6475000 43.09800000 22 102 317 662 1754
6485000 43.10780000 22 101 337 809 2774
6495000 42.70000000 22 102 317 668 2741
6505000 42.56460000 22 101 314 698 1076
6515000 43.38580000 22 102 347 738 1388
6525000 42.81160000 22 101 314 767 1661
6535000 42.36060000 22 101 320 725 1355
6545000 42.27680000 22 101 317 659 1283
6555000 43.31500000 22 102 326 732 1283
6565000 43.39200000 22 104 328 821 2096
6575000 42.89000000 22 101 314 629 1220
6585000 42.44260000 22 102 309 641 1331
6595000 43.20360000 22 99 332 708 1409
6605000 43.07980000 22 103 339 764 1283
6615000 43.14280000 22 101 338 746 1187
6625000 42.45060000 22 97 326 708 2900
6635000 42.69680000 22 102 303 620 1814
6645000 43.56040000 22 104 323 683 1031
6655000 42.05700000 22 98 320 716 1208
6665000 42.56480000 22 101 320 680 1556
6675000 42.07120000 22 102 299 596 995
6685000 42.08760000 22 99 314 680 996
